source	output	step	count	forbidden_fa	concept	status
HTML	HTML	subject-lexicon	12	اچ‌تی‌ام‌ال	html	preferred
CSS	CSS	subject-lexicon	3	سی‌اس‌اس	css	preferred
ARIA	ARIA	subject-lexicon	1	آریا	aria	preferred
dfn	dfn	subject-lexicon	10	دی‌اف‌ان	el-dfn	preferred
abbr	abbr	subject-lexicon	4	اِی‌بی‌بی‌آر	el-abbr	preferred
dl	dl	subject-lexicon	6	دی‌ال	el-dl	preferred
dt	dt	subject-lexicon	8	دی‌تی	el-dt	preferred
dd	dd	subject-lexicon	8	دی‌دی	el-dd	preferred
aria-describedby	aria-describedby	subject-lexicon	5	آریا-توصیف‌شده‌با	aria-describedby	preferred
title	title	subject-lexicon	3	تایتل‌اتریبیوت	attr-title	preferred
id	id	subject-lexicon	3	آی‌دی	attr-id	preferred
font-weight	font-weight	subject-lexicon	2	وزن‌قلم	css-font-weight	preferred
tag	tag	job-lexicon	4	تگ‌نشانه‌گذاری	html-tag	preferred
element	element	job-lexicon	6	المنت	html-element	preferred
attribute	attribute	job-lexicon	3	اتریبیوت	html-attribute	preferred
screen reader	screen reader	job-lexicon	2	صفحه‌خوان	a11y-sr	preferred
assistive technology	assistive technology	job-lexicon	1	فناوری‌کمکی	a11y-at	preferred
description list	description list	job-lexicon	6	لیست‌توصیف	desc-list	preferred
keyword	keyword	job-lexicon	8	کلیدواژه	keyword-ordinary	preferred
Firefox	Firefox	subject-lexicon	4	فایرفاکس	firefox	preferred
Mozilla Foundation	Mozilla Foundation	subject-lexicon	3	بنیادموزیلا	mozilla	preferred
